Grade,E_title,E_country,E_province,E_region_1,E_region_2,E_winery,E_FE_vintage,E_wine_variety,E_FE_wine_kind,FE_continent,E_price,FE_points_location,FE_points_variety,FE_points_winery
Fail,Nicosia 2013 Vulkà Bianco  (Etna),Italy,Sicily & Sardinia,Etna,-,Nicosia,2013,White Blend,white,0,,90.0,87.0,87.0
Fail,Quinta dos Avidagos 2011 Avidagos Red (Douro),Portugal,Douro,-,-,Quinta dos Avidagos,2011,Port,,0,15.0,89.0,88.0,87.0
Fail,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),US,Michigan,Lake Michigan Shore,-,St. Julian,2013,Riesling,white,1,13.0,86.0,90.0,86.0
Fail,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),Spain,Northern Spain,Navarra,-,Tandem,2011,Merlot,red,0,15.0,86.0,87.0,87.0
Fail,Terre di Giurfo 2013 Belsito Frappato (Vittoria),Italy,Sicily & Sardinia,Vittoria,-,Terre di Giurfo,2013,Frappato,sparkling,0,16.0,89.0,88.0,88.5
Fail,Trimbach 2012 Gewurztraminer (Alsace),France,Alsace,Alsace,-,Trimbach,2012,Gewürztraminer,white,0,24.0,90.0,88.0,92.5
Fail,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),Germany,Rheinhessen,-,-,Heinz Eifel,2013,Gewürztraminer,white,0,12.0,89.0,88.0,88.0
Fail,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),US,California,Napa Valley,Napa,Kirkland Signature,2011,Cabernet Sauvignon,red,1,19.0,89.0,88.0,86.0
Fail,Leon Beyer 2012 Gewurztraminer (Alsace),France,Alsace,Alsace,-,Leon Beyer,2012,Gewürztraminer,white,0,30.0,90.0,88.0,89.0
Fail,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),US,California,Alexander Valley,Sonoma,Louis M. Martini,2012,Cabernet Sauvignon,red,1,34.0,88.0,88.0,90.0
Fail,Masseria Setteporte 2012 Rosso  (Etna),Italy,Sicily & Sardinia,Etna,-,Masseria Setteporte,2012,Nerello Mascalese,red,0,,90.0,90.0,87.5
Fail,Mirassou 2012 Chardonnay (Central Coast),US,California,Central Coast,Central Coast,Mirassou,2012,Chardonnay,white,1,12.0,86.0,88.0,85.0
Fail,Richard Böcking 2013 Devon Riesling (Mosel),Germany,Mosel,-,-,Richard Böcking,2013,Riesling,white,0,24.0,90.0,90.0,89.0
