RID,Time_Departure,Time_Arrival,Distance,Time_Driving,Speed_Per_Hour,Address1,Address2,Weekday,Hour,Day,Signaltype
router-84875df7fc-cmkz9-2-9617301-0,19:43:56,19:56:38.537000,3246.0,762.6539916992,15.3222826173,경기도,평택시,0,19,27,11.0
router-84875df7fc-scxcj-6-13366366-0,12:23:05,12:36:32.620000,3858.0,796.0819702148,17.446444612,경기도,의정부시,4,12,24,17.0
router-84875df7fc-52vz8-6-62202063-0,19:10:35,19:29:07.306000,4125.0,1112.4680175781,13.3486983584,경기도,광명시,0,19,27,24.0
router-84875df7fc-8n4sw-5-6914479-0,11:59:58,12:10:55.999000,3748.0,651.9730224609,20.6953348301,경기도,안산시 상록구,0,11,20,19.0
router-84875df7fc-8n4sw-7-75115963-0,15:16:53,15:26:52.222000,3153.0,597.4190063477,18.9997303055,경기도,성남시 중원구,2,15,29,14.0
router-84875df7fc-scxcj-3-27688400-0,17:54:29,18:04:08.148000,3726.0,579.6539916992,23.1407015083,경기도,김포시,0,17,27,16.0
router-84875df7fc-scxcj-3-24626188-0,18:27:02,18:34:10.959000,3036.0,426.5050048828,25.625959543,경기도,의정부시,4,18,24,17.0
router-84875df7fc-52vz8-0-8458358-0,13:31:40,13:53:02.726000,11506.0,1280.5629882812,32.3463979352,경기도,평택시,2,13,29,39.0
router-84875df7fc-cmkz9-6-13244872-0,15:01:38,15:22:57.329000,11164.0,1275.9659423828,31.4980193946,경기도,고양시 일산동구,3,15,23,48.0
router-84875df7fc-scxcj-0-6625462-0,20:35:39,20:41:06.761000,3343.0,328.2780151367,36.6603898071,경기도,파주시,0,20,20,1.0
router-84875df7fc-scxcj-7-72299565-0,12:18:23,12:27:34.627000,4074.0,539.0560302734,27.2075613226,경기도,용인시 기흥구,3,12,30,24.0
router-84875df7fc-cmkz9-7-50992824-0,11:59:32,12:15:29.852000,3096.0,958.6350097656,11.626531356,경기도,구리시,2,11,22,4.0
router-84875df7fc-52vz8-4-27817665-0,12:43:35,12:58:36.200000,7552.0,899.9739990234,30.2088727335,경기도,고양시 덕양구,0,12,27,5.0
router-84875df7fc-52vz8-4-24158847-0,19:19:59,19:44:10.458000,4883.0,1451.04296875,12.1145964514,서울특별시,송파구,3,19,23,17.0
router-84875df7fc-8n4sw-7-55062890-0,15:53:36,16:03:36.894000,8810.0,602.616027832,52.6305284546,경기도,이천시,1,15,21,5.0
router-84875df7fc-8n4sw-5-7335549-0,17:19:12,17:31:10.859000,7541.0,719.7810058594,37.7164717866,경기도,평택시,1,17,21,2.0
router-84875df7fc-8n4sw-6-21933921-0,15:00:52,15:09:18.910000,3727.0,506.5419921875,26.4878335991,경기도,양주시,1,15,21,3.0
router-84875df7fc-8n4sw-5-10065302-0,10:20:26,10:32:36.051000,3816.0,730.616027832,18.802762979,서울특별시,강동구,3,10,30,13.0
router-84875df7fc-8n4sw-7-54986659-0,15:26:26,15:41:11.166000,8265.0,882.616027832,33.7111485196,경기도,화성시,1,15,21,16.0
router-84875df7fc-52vz8-6-52343808-0,11:14:05,11:44:23.395000,7264.0,1818.3229980469,14.381603284,서울특별시,동대문구,3,11,23,52.0
router-84875df7fc-52vz8-6-64159822-0,18:17:16,18:42:38.399000,3170.0,1521.7469482422,7.4992757588,서울특별시,금천구,1,18,28,5.0
router-84875df7fc-52vz8-6-46247220-0,12:03:29,12:15:29.254000,7745.0,721.3469848633,38.6526880753,경기도,화성시,0,12,20,16.0
router-84875df7fc-8n4sw-4-11552887-0,20:50:59,21:01:02.267000,3229.0,600.4270019531,19.3602219124,서울특별시,강남구,3,20,23,28.0
router-84875df7fc-8n4sw-7-73184420-0,18:27:03,18:49:54.338000,14518.0,1357.7209472656,38.4945080985,경기도,파주시,1,18,28,19.0
router-84875df7fc-cmkz9-2-9797497-0,13:44:42,13:50:09.277000,3164.0,327.5880126953,34.7705030666,경기도,구리시,1,13,28,5.0
router-84875df7fc-52vz8-7-9821574-0,19:17:36,19:34:00.024000,12881.0,984.5440063477,47.0995706652,경기도,안성시,3,19,23,31.0
router-84875df7fc-b5nxc-4-67924540-0,08:07:51,08:31:59.586000,4413.0,1450.125,10.9554693561,경기도,광명시,1,8,28,17.0
router-84875df7fc-52vz8-6-53398901-0,18:58:07,19:07:53.910000,3195.0,585.1879882812,19.6552223052,인천광역시,서구,3,18,23,15.0
router-84875df7fc-8n4sw-1-6635284-0,18:04:53,18:29:34.042000,11053.0,1479.4069824219,26.8964527495,서울특별시,강남구,1,18,21,15.0
router-84875df7fc-8n4sw-4-14089746-0,09:53:01,10:33:03.071000,3625.0,2400.6369628906,5.4360572639,서울특별시,성동구,2,9,29,15.0
router-84875df7fc-scxcj-7-49788175-0,19:34:27,19:57:12.115000,11948.0,1355.1719970703,31.739734951,경기도,오산시,0,19,20,30.0
router-84875df7fc-b5nxc-7-28412517-0,11:19:40,11:36:56.150000,8965.0,1034.0140380859,31.2123422035,경기도,가평군,1,11,28,14.0
router-84875df7fc-cmkz9-4-30006779-0,10:13:40,10:36:34.172000,11579.0,1358.4110107422,30.6861470279,서울특별시,서초구,1,10,28,23.0
router-84875df7fc-b5nxc-2-6703749-0,04:47:49,04:58:05.498000,11652.0,613.5369873047,68.3694722046,경기도,김포시,1,4,21,2.0
router-84875df7fc-52vz8-0-6104249-0,08:07:58,08:21:30.131000,4156.0,812.4899902344,18.4145037845,경기도,수원시 권선구,2,8,22,17.0
router-84875df7fc-8n4sw-3-7630801-0,14:38:41,14:51:26.168000,5127.0,765.5629882812,24.1093159969,서울특별시,서대문구,4,14,24,15.0
router-84875df7fc-scxcj-4-7840668-0,11:54:42,12:03:06.961000,4625.0,504.532989502,33.0008153014,서울특별시,양천구,4,11,24,17.0
router-84875df7fc-8n4sw-7-51240318-0,05:24:22,05:42:34.724000,9093.0,1093.3780517578,29.9391413129,서울특별시,은평구,0,5,20,36.0
router-84875df7fc-scxcj-3-27087489-0,08:17:38,08:32:59.809000,5784.0,921.6099853516,22.5935052039,경기도,성남시 중원구,0,8,27,22.0
router-84875df7fc-8n4sw-6-31017538-0,15:35:28,15:53:20.183000,5876.0,1071.0760498047,19.7498581019,경기도,남양주시,3,15,30,38.0
router-84875df7fc-scxcj-7-50292135-0,06:42:25,07:04:35.110000,9649.0,1327.0939941406,26.1747850215,경기도,광명시,1,6,21,42.0
router-84875df7fc-8n4sw-6-29839541-0,13:27:06,13:52:07.835000,13754.0,1499.1960449219,33.0273016446,경기도,의정부시,2,13,29,20.0
router-84875df7fc-b5nxc-4-69671418-0,20:16:21,20:27:40.482000,5520.0,678.1270141602,29.3042447581,경기도,가평군,1,20,28,9.0
router-84875df7fc-scxcj-7-57833743-0,11:31:10,11:45:21.327000,6736.0,852.4409790039,28.4472480761,경기도,성남시 중원구,4,11,24,36.0
router-84875df7fc-scxcj-3-28517608-0,16:13:01,16:20:26.106000,6488.0,444.2179870605,52.5795908323,경기도,안성시,1,16,28,5.0
router-84875df7fc-b5nxc-4-72271007-0,00:17:12,00:25:22.543000,5255.0,489.3649902344,38.6582619875,경기도,성남시 분당구,3,0,30,15.0
router-84875df7fc-scxcj-3-22289535-0,11:26:40,11:44:06.249000,9974.0,1045.5,34.343758967,서울특별시,중랑구,2,11,22,13.0
router-84875df7fc-cmkz9-4-29351582-0,15:12:08,15:17:31.862000,3146.0,323.3630065918,35.0244145716,경기도,고양시 덕양구,0,15,27,11.0
router-84875df7fc-8n4sw-4-14656111-0,13:22:19,13:32:27.179000,6772.0,607.1829833984,40.1513228575,경기도,동두천시,3,13,30,10.0
router-84875df7fc-b5nxc-6-13186994-0,16:03:17,16:12:49.696000,4146.0,760.4279785156,19.6278943196,경기도,성남시 분당구,4,16,24,17.0
router-84875df7fc-cmkz9-5-10935264-0,10:02:49,10:16:45.009000,12275.0,834.5919799805,52.9480285696,경기도,양주시,1,10,28,23.0
router-84875df7fc-8n4sw-7-74372359-0,10:50:42,10:54:16.634000,3615.0,215.6390075684,60.3508620576,경기도,김포시,2,10,29,0.0
