class,sex,age,service,stop,npay,avg_bill,A_bill,B_bill,termination
C,F,28.0,0,N,N,2640.0,792.0,1584.0,Y
E,F,24.0,1,N,N,16840.0,2526.0,6983.0,N
F,F,32.0,1,N,N,15544.7334,2331.71001,6750.4666,N
D,M,18.0,1,N,N,4700.0,0.0,4502.0,N
C,F,78.0,1,N,N,1361.7999,1173.9999,0.0,N
D,M,22.0,1,N,N,13562.8,2222.0001,3673.0,N
D,F,65.0,1,N,N,4953.9334,987.0,2700.3999,N
D,M,60.0,1,N,N,5503.0,2093.0001,0.0,N
C,F,67.0,1,N,N,1349.7,1227.0,0.0,N
F,M,59.0,1,N,N,11472.3334,348.8001,8910.1334,N
F,F,61.0,1,N,Y,13287.5667,837.0,6682.5334,N
D,F,42.0,0,N,N,7136.8666,2718.9999,0.0,Y
C,M,87.0,1,N,Y,2774.93326,2522.6666,0.0,N
E,F,32.0,1,N,N,12683.00011,1928.0001,9602.0,N
D,F,87.0,1,N,N,4852.8,2091.6999,0.0,N
E,M,48.0,0,N,N,15259.4,2601.0,9155.64,Y
D,F,24.0,1,N,Y,54076.5,1742.0001,5525.6,N
C,F,33.0,1,N,N,4287.0,343.7709,1487.4,N
G,M,42.0,2,N,N,15742.2666,1820.8269,6332.2666,N
D,M,13.0,1,N,N,6698.78011,839.0001,5250.8,N
E,F,30.0,1,N,N,13253.90022,2908.8668,9140.1334,N
D,F,55.0,1,N,N,11303.6666,1578.9999,6782.19996,N
G,M,22.0,2,N,N,15673.79011,1703.3001,12545.6,N
E,M,58.0,1,N,N,9604.90685,2033.0001,6698.7334,N
D,M,53.0,1,N,Y,1821.6,1656.0,0.0,N
G,M,25.0,1,N,N,28268.0667,996.0,16139.1896,N
F,M,55.0,2,N,N,14444.8666,2484.4668,3112.1666,N
D,M,10.0,1,N,N,10156.0,2192.0001,2400.2,N
C,M,73.0,2,N,N,5055.6,2193.0,2403.0,N
G,M,26.0,1,N,Y,18373.66674,2783.5334,13919.8,N
C,M,78.0,1,N,N,2489.7334,1073.7999,0.0,N
C,M,84.0,1,N,N,2620.30989,2382.0999,0.0,N
C,F,49.0,1,N,N,3504.6,984.0,2202.0,N
F,F,60.0,1,N,N,11743.6,2030.0,7795.6,N
E,M,46.0,1,N,N,17310.84674,7310.2,8426.9334,N
G,F,28.0,1,N,N,17909.72062,8273.8668,8007.6974,N
C,M,54.0,2,N,N,2281.7001,971.9001,0.0,N
F,M,62.0,1,N,N,14506.6,607.5,11068.8666,N
C,F,68.0,1,N,N,2958.9999,330.0,1775.39994,N
D,F,13.0,1,N,N,9909.38674,2340.0,6668.5334,N
G,M,36.0,1,N,N,19495.8,384.8001,12164.6,N
D,F,53.0,1,N,N,6015.53326,330.0,5138.6666,N
D,M,64.0,1,N,N,9098.90674,3529.3334,4742.4,N
G,F,29.0,1,N,N,10571.0,1667.0001,8213.0,N
D,F,73.0,2,N,N,5712.0,884.6001,2250.3,N
F,M,27.0,1,N,N,15702.08695,2270.7999,12003.8246,N
G,M,38.0,1,Y,N,15408.0,281.7,10041.4666,N
C,F,68.0,1,N,N,1995.5001,1371.3999,0.0,N
C,M,37.0,1,N,N,4110.3334,312.9999,2466.20004,N
C,M,82.0,1,N,N,2290.2,2082.0,0.0,N
G,M,26.0,1,Y,N,16027.6666,1704.0,3122.0,N
D,M,12.0,1,N,N,8001.25337,1934.0001,5339.8666,N
E,M,31.0,0,N,N,7101.2,2792.7999,0.0,Y
D,F,56.0,1,N,N,9303.72674,2676.0,5781.9334,N
E,M,44.0,2,N,N,11459.13989,1707.9999,8709.4,N
D,F,60.0,1,N,N,5814.96674,1311.0,3975.3334,N
C,M,47.0,1,N,Y,1729.8999,1169.0001,0.0,N
G,F,53.0,1,N,N,10981.5334,2036.0001,8001.067,N
D,M,17.0,1,N,N,7555.16674,1704.0,5164.3334,N
D,F,79.0,1,N,N,338.80011,308.0001,0.0,Y
G,M,52.0,2,N,N,13694.8667,1398.6999,9110.0,N
G,F,30.0,2,N,N,13012.5333,327.0,6680.4666,N
G,M,40.0,1,N,Y,23754.8667,1407.9999,2924.1774,N
C,F,67.0,1,N,N,3445.93326,3132.6666,0.0,N
D,F,47.0,1,N,N,6940.54174,1733.7,4575.8834,N
