base_ym,dpro_tgt_perd_val,cust_ctg_type,cust_class,sex_type,age,efct_svc_count,dt_stop_yn,npay_yn,r3m_avg_bill_amt,r3m_A_avg_arpu_amt,r3m_B_avg_arpu_amt,r6m_A_avg_arpu_amt,r6m_B_avg_arpu_amt,termination_yn
202006,20200630,10001,C,F,28,0,N,N,2640,792,1584,0,0,Y
202006,20200630,10001,_,_,_,1,N,N,300,90,180,0,0,Y
202006,20200630,10001,E,F,24,1,N,N,16840,2526,6983,0,6981,N
202006,20200630,10001,F,F,32,1,N,N,15544.7334,2331.71001,6750.4666,0,6508.8,N
202006,20200630,10001,D,M,18,1,N,N,4700,0,4502,0,4507.7,N
202006,20200630,10001,C,F,78,1,N,N,1361.7999,1173.9999,0,1123.5,0,N
202006,20200630,10001,D,M,22,1,N,N,13562.8,2222.0001,3673,0,3671,N
202006,20200630,10001,D,F,65,1,N,N,4953.9334,987,2700.3999,0,2689.1,N
202006,20200630,10001,D,M,60,1,N,N,5503,2093.0001,0,1981.8999,0,N
202006,20200630,10001,C,F,67,1,N,N,1349.7,1227,0,985.5,0,N
202006,20200630,10005,C,_,_,1,N,N,2857.2999,492,1714.37994,2730.5001,0,N
202006,20200630,10001,F,M,59,1,N,N,11472.3334,348.8001,8910.1334,0,8908.0666,N
202006,20200630,10001,F,F,61,1,N,Y,13287.5667,837,6682.5334,0,6680.7334,N
202006,20200630,10001,_,F,27,1,N,N,8811.51315,891.9999,7118.4666,0,7063.2644,N
202006,20200630,10001,D,F,42,0,N,N,7136.8666,2718.9999,0,0,0,Y
202006,20200630,10001,C,M,87,1,N,Y,2774.93326,2522.6666,0,1233.9999,0,N
202006,20200630,10001,E,F,32,1,N,N,12683.00011,1928.0001,9602,0,10982.9834,N
202006,20200630,10001,D,F,87,1,N,N,4852.8,2091.6999,0,492,0,N
202006,20200630,10001,E,M,48,0,N,N,15259.4,2601,9155.64,0,0,Y
202006,20200630,10001,_,F,60,1,N,N,7135.11326,2481,4005.4666,0,3931.0334,N
202006,20200630,10001,D,F,24,1,N,Y,54076.5,1742.0001,5525.6,0,5468.7334,N
202006,20200630,10001,C,F,33,1,N,N,4287,343.7709,1487.4,0,2683.4499,N
202006,20200630,10001,G,M,42,2,N,N,15742.2666,1820.8269,6332.2666,328.4001,6320.5,N
202006,20200630,10001,D,M,13,1,N,N,6698.78011,839.0001,5250.8,0,5248.8,N
202006,20200630,10001,E,F,30,1,N,N,13253.90022,2908.8668,9140.1334,0,7262.2666,N
202006,20200630,10001,_,F,19,0,N,N,2438.7,2217,0,0,3644.6638,N
202006,20200630,10001,D,F,55,1,N,N,11303.6666,1578.9999,6782.19996,837,0,N
202006,20200630,10001,G,M,22,2,N,N,15673.79011,1703.3001,12545.6,0,10546.9666,N
202006,20200630,10001,E,M,58,1,N,N,9604.90685,2033.0001,6698.7334,0,6338.1666,N
202006,20200630,10001,D,M,53,1,N,Y,1821.6,1656,0,0,2795.4,N
202006,20200630,10001,G,M,25,1,N,N,28268.0667,996,16139.1896,0,14823.68,N
202006,20200630,10001,F,M,55,2,N,N,14444.8666,2484.4668,3112.1666,894.5001,3152.2834,N
202006,20200630,10001,D,M,10,1,N,N,10156,2192.0001,2400.2,0,2398.2,N
202006,20200630,10001,C,M,73,2,N,N,5055.6,2193,2403,2718.5001,2400,N
202006,20200630,10001,G,M,26,1,N,Y,18373.66674,2783.5334,13919.8,0,14101.6,N
202006,20200630,10005,C,_,_,0,N,N,12148.54674,11044.1334,0,0,0,Y
202006,20200630,10001,_,M,71,4,N,N,14547.0666,330,8664.2666,0,5613.96,N
202006,20200630,10001,C,M,78,1,N,N,2489.7334,1073.7999,0,2411.6666,0,N
202006,20200630,10001,_,M,17,1,N,N,3259.63011,1490.3001,1473,0,1470,N
202006,20200630,10001,C,M,84,1,N,N,2620.30989,2382.0999,0,1626.3999,0,N
202006,20200630,10001,C,F,49,1,N,N,3504.6,984,2202,0,2040,N
202006,20200630,10001,F,F,60,1,N,N,11743.6,2030,7795.6,0,9420.1666,N
202006,20200630,10001,E,M,46,1,N,N,17310.84674,7310.2,8426.9334,0,8380.5834,N
202006,20200630,10001,G,F,28,1,N,N,17909.72062,8273.8668,8007.6974,0,8976.1974,N
202006,20200630,10001,C,M,54,2,N,N,2281.7001,971.9001,0,2149.2,0,N
202006,20200630,10001,F,M,62,1,N,N,14506.6,607.5,11068.8666,0,10103.9334,N
202006,20200630,10001,C,F,68,1,N,N,2958.9999,330,1775.39994,2565.9999,0,N
202006,20200630,10001,D,F,13,1,N,N,9909.38674,2340,6668.5334,0,7378.3666,N
202006,20200630,10001,G,M,36,1,N,N,19495.8,384.8001,12164.6,0,11381.3,N
202006,20200630,10001,D,F,53,1,N,N,6015.53326,330,5138.6666,0,5111.5334,N
202006,20200630,10001,D,M,64,1,N,N,9098.90674,3529.3334,4742.4,0,4530.6,N
202006,20200630,10001,G,F,29,1,N,N,10571,1667.0001,8213,0,8549.4666,N
202006,20200630,10001,D,F,73,2,N,N,5712,884.6001,2250.3,2607.9999,2241.899,N
202006,20200630,10001,F,M,27,1,N,N,15702.08695,2270.7999,12003.8246,0,12002.3194,N
202006,20200630,10001,G,M,38,1,Y,N,15408,281.7,10041.4666,0,8809.7334,N
202006,20200630,10001,C,F,68,1,N,N,1995.5001,1371.3999,0,1731.5499,0,N
202006,20200630,10001,_,M,60,0,N,N,1466.29989,1332.9999,0,0,2014.2532,N
202006,20200630,10001,_,M,91,0,N,N,10151.5334,3630.6,0,355.5672,0,N
202006,20200630,10001,_,M,37,0,N,N,1468.5,1335,0,0,557.4,N
202006,20200630,10001,C,M,37,1,N,N,4110.3334,312.9999,2466.20004,1820.8269,0,N
202006,20200630,10001,C,M,82,1,N,N,2290.2,2082,0,857.0001,0,N
202006,20200630,10001,G,M,26,1,Y,N,16027.6666,1704,3122,0,8622.4,N
202006,20200630,10010,_,_,_,2,N,N,3347.9334,2612,0,2638.6334,0,N
202006,20200630,10001,D,M,12,1,N,N,8001.25337,1934.0001,5339.8666,0,5368.1334,N
202006,20200630,10001,E,M,31,0,N,N,7101.2,2792.7999,0,0,0,Y
202006,20200630,10001,D,F,56,1,N,N,9303.72674,2676,5781.9334,0,5779.9666,N
202006,20200630,10005,_,_,_,0,N,N,1307898.131,1188998.301,0,0,0,Y
202006,20200630,10001,E,M,44,2,N,N,11459.13989,1707.9999,8709.4,2217,8707.4,N
202006,20200630,10001,_,M,27,1,N,N,13180.92919,9879.8666,2102.7963,0,2099.7963,N
202006,20200630,10001,D,F,60,1,N,N,5814.96674,1311,3975.3334,0,4001.1,N
202006,20200630,10001,C,M,47,1,N,Y,1729.8999,1169.0001,0,1572,0,N
202006,20200630,10005,C,_,_,1,N,N,2037.3,1420.5,0,1703.1501,0,N
202006,20200630,10001,_,_,_,1,N,N,2789.59989,2535.9999,0,0,900,N
202006,20200630,10001,G,F,53,1,N,N,10981.5334,2036.0001,8001.067,0,6988.9002,N
202006,20200630,10001,D,M,17,1,N,N,7555.16674,1704,5164.3334,0,5377.5,N
202006,20200630,10001,D,F,79,1,N,N,338.80011,308.0001,0,0,0,Y
202006,20200630,10001,G,M,52,2,N,N,13694.8667,1398.6999,9110,2148.2001,9107.8666,N
202006,20200630,10001,G,F,30,2,N,N,13012.5333,327,6680.4666,1656,6820.8666,N
202006,20200630,10001,G,M,40,1,N,Y,23754.8667,1407.9999,2924.1774,0,3347.338,N
202006,20200630,10001,C,F,67,1,N,N,3445.93326,3132.6666,0,1019.4999,0,N
202006,20200630,10001,_,F,28,0,N,N,3107.50011,2825.0001,0,23028.1543,0,N
202006,20200630,10001,D,F,47,1,N,N,6940.54174,1733.7,4575.8834,0,4568.5666,N
202006,20200630,10001,D,F,58,1,N,Y,9841.48,2973.7334,5973.0666,0,6990.7666,N
202006,20200630,10010,_,_,_,2,N,N,9455.1334,336.9999,5673.08004,2596.715,0,N
202006,20200630,10001,C,M,24,1,N,Y,8364.6666,2100,2680.9334,0,2678.8666,N
202006,20200630,10001,D,F,12,1,N,N,4588.10011,569.0001,3602,0,3600,N
202006,20200630,10001,G,F,40,1,N,N,14921.2666,366.3,8262.0666,0,8119.4,N
202006,20200630,10001,G,M,54,1,N,N,14031.2,330.6,9411,0,9409,N
202006,20200630,10001,E,M,37,0,N,N,10864.2,1316.1,6518.52,0,0,Y
202006,20200630,10001,D,M,7,1,N,N,6947.38,2715.6,3600.2,0,3598.2,N
202006,20200630,10001,_,F,99,3,N,N,7244.91647,1179.9999,5406.2878,0,5131.1168,N
202006,20200630,10001,D,F,63,2,N,N,9093.51641,685.8999,7580.9332,0,7579.0666,N
202006,20200630,10005,C,_,_,1,N,N,2324.8666,984,0,2943.3999,0,N
202006,20200630,10001,D,F,59,1,N,N,9132.27315,1800.3999,6501.6666,0,6499.5334,N
202006,20200630,10001,C,F,57,1,N,N,2288.1,1722,0,2195.0001,0,N
202006,20200630,10001,E,F,26,1,N,N,11277.9,2058,5540.6,0,5562.8,N
202006,20200630,10001,D,M,22,1,N,N,7823.2,2610,4502,0,4583.6334,N
202006,20200630,10001,C,M,70,1,N,N,3680.6666,282.5001,2208.39996,2779.7334,0,N
202006,20200630,10001,C,M,75,0,N,Y,9198.2,8362,0,0,0,Y
202006,20200630,10001,G,M,47,7,N,Y,15548.1667,4507.0666,9010.1334,10991.4666,9007.9666,N
202006,20200630,10001,E,M,61,1,N,N,9526.77,1878.9,6781.8,0,6779.9,N
202006,20200630,10001,G,F,35,1,N,N,15032.8667,1704,11562.9858,0,11560.9858,N
202006,20200630,10010,_,_,_,1,N,N,22362.9333,2082,9410,0,9408,N
202006,20200630,10001,G,M,59,2,N,N,12681.6666,1713,8160.6,330,9042.3334,N
202006,20200630,10001,F,M,20,1,N,N,13320,2566,6000.6,0,8291.0334,N
202006,20200630,10001,C,F,40,2,N,Y,61446.4333,1722,10966.5834,1068,9612.5316,N
202006,20200630,10001,_,F,80,1,N,N,10802,834,8656,0,6627,N
202006,20200630,10001,_,M,52,1,N,Y,20074.12,5316.6,12932.6,0,13859.3666,N
202006,20200630,10001,E,M,31,0,N,N,9960,4708.1334,0,0,0,Y
202006,20200630,10001,E,M,26,1,N,N,10125.5334,1704,6491,0,9361.4292,N
202006,20200630,10001,D,M,58,1,N,N,5653.9334,1060.1001,3392.36004,1402.2999,0,N
202006,20200630,10001,D,F,30,0,N,N,9441.2666,984,5664.75996,0,0,Y
202006,20200630,10001,E,F,20,1,N,N,15992.3333,2873.2,12615.1334,0,10766.4666,N
202006,20200630,10001,C,M,34,0,N,N,3900,467.1,2340,0,0,Y
202006,20200630,10005,C,_,_,1,N,N,7901.2666,950.1999,4740.75996,2231.4999,0,N
202006,20200630,10001,D,M,62,2,N,N,7061.26674,2031,4388.3334,984,4435.0334,N
202006,20200630,10001,D,F,49,1,N,N,8422.60826,3000,4656.9166,0,4652.6834,N
202006,20200630,10001,G,M,44,1,N,N,13049,334.2,5982,0,5980,N
202006,20200630,10001,_,_,_,1,N,N,1293.6,1176,0,0,0,Y
202006,20200630,10001,E,F,23,1,N,N,15100,1883.4999,6202.2,0,6068.7,N
202006,20200630,10001,G,F,29,1,N,N,11375.5333,1736.0001,8410.2,0,8408.2,N
202006,20200630,10001,F,F,27,1,N,N,10769.95326,679.5,9111.3666,0,9030.76,N
202006,20200630,10001,C,M,30,0,N,N,1882.09989,1710.9999,0,0,0,Y
202006,20200630,10001,_,M,42,0,N,N,5483.8,1173,3290.28,0,0,Y
202006,20200630,10001,E,M,61,1,N,N,15178.75326,1737,12061.8666,0,12059.6,N
202006,20200630,10001,C,M,77,2,N,N,6196.8666,1722,2890.9334,2030,2967.7334,N
202006,20200630,10001,G,M,34,1,N,N,19047.8666,1429.4001,11945.6,0,11943.6,N
202006,20200630,10001,D,F,58,1,N,N,9893.7334,1248,3510.6666,0,5026.4334,N
202006,20200630,10001,G,M,57,0,N,N,12989.2333,1953,4201.2,0,4199.2,N
202006,20200630,10010,_,_,_,3,N,Y,16708.8,1212,10025.28,8557.6666,0,N
202006,20200630,10001,E,F,38,1,N,N,15790.7334,2268,6260.8666,0,6530.6666,N
202006,20200630,10001,F,F,43,1,N,N,14617.2,325.6932,8966.784,0,8964.784,N
202006,20200630,10001,G,M,24,1,N,N,11308.8,1152.0999,8946.7136,0,8885.1336,N
202006,20200630,10001,D,M,17,1,N,N,7553.25989,1329.9999,5536.6,0,5775.1666,N
202006,20200630,10001,F,F,46,1,N,N,13437.01645,2013.4695,10202,0,10199.9334,N
202006,20200630,10001,G,F,39,1,N,N,12514.78206,1800.9,9576.1746,0,9570.8246,N
202006,20200630,10001,G,F,38,4,N,N,19200.8667,330,9892,7656.5332,9890,N
202006,20200630,10001,D,F,36,1,N,N,8181.8666,2319,4500.7334,0,4498.4666,N
202006,20200630,10001,E,F,57,3,N,N,8025.4666,1603.2999,2202,990.8499,2743.9334,N
202006,20200630,10001,_,M,41,0,N,N,8835.93348,1821,6211.6668,0,6113.89,N
202006,20200630,10001,E,M,31,1,N,N,10469.4,331.2999,4500.2,0,4498.2,N
202006,20200630,10001,H,M,59,4,N,N,11269.1,519,8846.8,611.3001,8844.5,N
202006,20200630,10001,C,F,81,2,N,Y,4941.96989,1466.4999,3026.2,18,3033.6334,N
202006,20200630,10001,_,F,75,1,N,N,4520.01,1299.8001,2809.2999,0,2885.85,N
202006,20200630,10001,F,M,31,1,N,N,39824.2667,2518,12595.5483,0,16264.8767,N
202006,20200630,10001,H,M,36,3,N,N,20098,1976.0001,15012.8,330,15011.8,N
202006,20200630,10001,G,M,45,1,N,N,19741.6,2238.6666,11157.52,0,11020.5866,N
202006,20200630,10001,_,F,25,1,N,N,4612.63924,2624.5334,1568.775,0,10744.486,N
202006,20200630,10001,G,F,27,1,N,Y,12633.92306,2034,9451.3846,0,9957.5924,N
202006,20200630,10001,D,F,41,1,N,N,12431.2666,2442.0666,3910.2692,0,3908.2692,N
202006,20200630,10001,_,M,65,1,N,Y,19231.00652,12738.4666,4744.2666,0,3787.1,N
202006,20200630,10001,D,F,32,0,N,N,8860,1503,5316,0,0,Y
202006,20200630,10001,C,F,78,1,N,N,4129.4,1752,2002,0,2000,N
202006,20200630,10001,_,M,_,0,N,N,1917.3,1743,0,0,6763.6436,N
202006,20200630,10001,C,M,51,1,N,N,2421.8001,2159.0001,0,2044.6666,0,N
202006,20200630,10001,D,F,53,1,N,N,7207.2,2198.0001,3901,0,3898.8,N
